file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
A1_1a1_ITS2_S179_R1_001.fastq.gz	FASTQ	DNA	23483	6322576	78	269.2	294
A1_1a1_ITS2_S179_R2_001.fastq.gz	FASTQ	DNA	23483	6550058	82	278.9	297
A1_1a2_ITS2_S180_R1_001.fastq.gz	FASTQ	DNA	22493	6063171	69	269.6	290
A1_1a2_ITS2_S180_R2_001.fastq.gz	FASTQ	DNA	22493	6274168	69	278.9	298
A1_2a1_ITS2_S181_R1_001.fastq.gz	FASTQ	DNA	32785	8834706	79	269.5	298
A1_2a1_ITS2_S181_R2_001.fastq.gz	FASTQ	DNA	32785	9149151	82	279.1	284
A1_2a2_ITS2_S182_R1_001.fastq.gz	FASTQ	DNA	31499	8489580	103	269.5	289
A1_2a2_ITS2_S182_R2_001.fastq.gz	FASTQ	DNA	31499	8785016	161	278.9	296
A1_5a1_ITS2_S183_R1_001.fastq.gz	FASTQ	DNA	29663	7991074	79	269.4	295
A1_5a1_ITS2_S183_R2_001.fastq.gz	FASTQ	DNA	29663	8273738	82	278.9	297
A1_5a2_ITS2_S184_R1_001.fastq.gz	FASTQ	DNA	31145	8393670	75	269.5	292
A1_5a2_ITS2_S184_R2_001.fastq.gz	FASTQ	DNA	31145	8694408	75	279.2	296
A1_6a1_ITS2_S185_R1_001.fastq.gz	FASTQ	DNA	18459	4948867	78	268.1	298
A1_6a1_ITS2_S185_R2_001.fastq.gz	FASTQ	DNA	18459	5140557	78	278.5	284
A1_6a2_ITS2_S186_R1_001.fastq.gz	FASTQ	DNA	26600	7171136	78	269.6	298
A1_6a2_ITS2_S186_R2_001.fastq.gz	FASTQ	DNA	26600	7407030	78	278.5	287
A2_2a5_ITS2_S191_R1_001.fastq.gz	FASTQ	DNA	37632	10160950	96	270.0	298
A2_2a5_ITS2_S191_R2_001.fastq.gz	FASTQ	DNA	37632	10508286	269	279.2	286
A2_2a6_ITS2_S192_R1_001.fastq.gz	FASTQ	DNA	36059	9712444	107	269.3	298
A2_2a6_ITS2_S192_R2_001.fastq.gz	FASTQ	DNA	36059	10070609	270	279.3	287
A2_5a3_ITS2_S187_R1_001.fastq.gz	FASTQ	DNA	29191	7852519	101	269.0	294
A2_5a3_ITS2_S187_R2_001.fastq.gz	FASTQ	DNA	29191	8127921	101	278.4	297
A2_5a4_ITS2_S188_R1_001.fastq.gz	FASTQ	DNA	27225	7314448	78	268.7	291
A2_5a4_ITS2_S188_R2_001.fastq.gz	FASTQ	DNA	27225	7577296	78	278.3	285
A2_6a3_ITS2_S189_R1_001.fastq.gz	FASTQ	DNA	27114	7268645	64	268.1	293
A2_6a3_ITS2_S189_R2_001.fastq.gz	FASTQ	DNA	27114	7519409	64	277.3	294
A2_6a4_ITS2_S190_R1_001.fastq.gz	FASTQ	DNA	27685	7467579	103	269.7	298
A2_6a4_ITS2_S190_R2_001.fastq.gz	FASTQ	DNA	27685	7717090	191	278.7	295
A2_7a3_ITS2_S193_R1_001.fastq.gz	FASTQ	DNA	30147	8098027	78	268.6	293
A2_7a3_ITS2_S193_R2_001.fastq.gz	FASTQ	DNA	30147	8375968	78	277.8	284
A2_7a4_ITS2_S194_R1_001.fastq.gz	FASTQ	DNA	23359	6269701	63	268.4	298
A2_7a4_ITS2_S194_R2_001.fastq.gz	FASTQ	DNA	23359	6499691	63	278.3	286
An1_ITS2_S125_R1_001.fastq.gz	FASTQ	DNA	33387	8944652	62	267.9	298
An1_ITS2_S125_R2_001.fastq.gz	FASTQ	DNA	33387	9282820	62	278.0	284
An2_ITS2_S126_R1_001.fastq.gz	FASTQ	DNA	35635	9603626	62	269.5	298
An2_ITS2_S126_R2_001.fastq.gz	FASTQ	DNA	35635	9927858	62	278.6	284
C1_12_corr_ITS2_S112_R1_001.fastq.gz	FASTQ	DNA	41018	11080557	107	270.1	298
C1_12_corr_ITS2_S112_R2_001.fastq.gz	FASTQ	DNA	41018	11457474	186	279.3	292
C1_14_ITS2_S111_R1_001.fastq.gz	FASTQ	DNA	32085	8688169	107	270.8	291
C1_14_ITS2_S111_R2_001.fastq.gz	FASTQ	DNA	32085	8976823	62	279.8	288
C1_1_ITS2_S107_R1_001.fastq.gz	FASTQ	DNA	49053	13294309	107	271.0	298
C1_1_ITS2_S107_R2_001.fastq.gz	FASTQ	DNA	49053	13724956	264	279.8	297
C1_2_corr_ITS2_S114_R1_001.fastq.gz	FASTQ	DNA	35708	9681769	107	271.1	298
C1_2_corr_ITS2_S114_R2_001.fastq.gz	FASTQ	DNA	35708	9986845	238	279.7	289
C1_3_ITS2_S108_R1_001.fastq.gz	FASTQ	DNA	41242	11134353	107	270.0	298
C1_3_ITS2_S108_R2_001.fastq.gz	FASTQ	DNA	41242	11515274	271	279.2	297
C1_5_ITS2_S109_R1_001.fastq.gz	FASTQ	DNA	39686	10753442	106	271.0	298
C1_5_ITS2_S109_R2_001.fastq.gz	FASTQ	DNA	39686	11104525	263	279.8	297
C1_6_ITS2_S113_R1_001.fastq.gz	FASTQ	DNA	39270	10618706	107	270.4	298
C1_6_ITS2_S113_R2_001.fastq.gz	FASTQ	DNA	39270	10964484	205	279.2	296
C1_9_ITS2_S110_R1_001.fastq.gz	FASTQ	DNA	26078	7013703	107	269.0	298
C1_9_ITS2_S110_R2_001.fastq.gz	FASTQ	DNA	26078	7295957	263	279.8	289
C2_14b_ITS2_S121_R1_001.fastq.gz	FASTQ	DNA	34602	9333208	52	269.7	298
C2_14b_ITS2_S121_R2_001.fastq.gz	FASTQ	DNA	34602	9681617	272	279.8	296
C2_16_ITS2_S122_R1_001.fastq.gz	FASTQ	DNA	32150	8685426	107	270.2	298
C2_16_ITS2_S122_R2_001.fastq.gz	FASTQ	DNA	32150	8995477	272	279.8	297
C2_18_ITS2_S123_R1_001.fastq.gz	FASTQ	DNA	37224	10084954	107	270.9	298
C2_18_ITS2_S123_R2_001.fastq.gz	FASTQ	DNA	37224	10415496	227	279.8	289
C2_19_ITS2_S124_R1_001.fastq.gz	FASTQ	DNA	28455	7694970	107	270.4	298
C2_19_ITS2_S124_R2_001.fastq.gz	FASTQ	DNA	28455	7961221	272	279.8	284
C2_1_ITS2_S115_R1_001.fastq.gz	FASTQ	DNA	39823	10766886	107	270.4	298
C2_1_ITS2_S115_R2_001.fastq.gz	FASTQ	DNA	39823	11123014	273	279.3	295
C2_2_ITS2_S120_R1_001.fastq.gz	FASTQ	DNA	32093	8697368	107	271.0	298
C2_2_ITS2_S120_R2_001.fastq.gz	FASTQ	DNA	32093	8979471	273	279.8	287
C2_3_ITS2_S116_R1_001.fastq.gz	FASTQ	DNA	34618	9304580	107	268.8	298
C2_3_ITS2_S116_R2_001.fastq.gz	FASTQ	DNA	34618	9669708	239	279.3	285
C2_6_ITS2_S117_R1_001.fastq.gz	FASTQ	DNA	37438	10132417	107	270.6	297
C2_6_ITS2_S117_R2_001.fastq.gz	FASTQ	DNA	37438	10472994	239	279.7	296
C2_7_ITS2_S118_R1_001.fastq.gz	FASTQ	DNA	40980	11067669	79	270.1	298
C2_7_ITS2_S118_R2_001.fastq.gz	FASTQ	DNA	40980	11444712	82	279.3	294
C2_9_ITS2_S119_R1_001.fastq.gz	FASTQ	DNA	48925	13251260	107	270.8	298
C2_9_ITS2_S119_R2_001.fastq.gz	FASTQ	DNA	48925	13667528	165	279.4	288
F1_10_ITS2_S141_R1_001.fastq.gz	FASTQ	DNA	49514	13378614	107	270.2	298
F1_10_ITS2_S141_R2_001.fastq.gz	FASTQ	DNA	49514	13832102	246	279.4	295
F1_12_ITS2_S149_R1_001.fastq.gz	FASTQ	DNA	22127	5954698	78	269.1	294
F1_12_ITS2_S149_R2_001.fastq.gz	FASTQ	DNA	22127	6182322	78	279.4	290
F1_13_ITS2_S150_R1_001.fastq.gz	FASTQ	DNA	17509	4745674	103	271.0	297
F1_13_ITS2_S150_R2_001.fastq.gz	FASTQ	DNA	17509	4834226	190	276.1	290
F1_14_ITS2_S151_R1_001.fastq.gz	FASTQ	DNA	18001	4857856	107	269.9	292
F1_14_ITS2_S151_R2_001.fastq.gz	FASTQ	DNA	18001	5027936	165	279.3	283
F1_2_ITS2_S136_R1_001.fastq.gz	FASTQ	DNA	29192	7842233	107	268.6	293
F1_2_ITS2_S136_R2_001.fastq.gz	FASTQ	DNA	29192	8169115	268	279.8	296
F1_3_ITS2_S137_R1_001.fastq.gz	FASTQ	DNA	23649	6373089	107	269.5	298
