Query Title,Query File,Database File,Search Method,Positive/redundant (+) or negative (-) hit for queries with query title (edit this column),Hit Number,E-value,Order of magnitude of E-value difference compared to top hit,Length as percent of top hit sequence length,Accession,Description,
ACC1,ACC1_s_natans.faa,GCA_905221605.1_Snat_CCMP2548_protein.faa,blastp 2.9.0+,+,1,0.0,0,100,"CAE7605714.1","ACC1 [Symbiodinium natans] "CAE7605714.1 ACC1 [Symbiodinium natans]"
ACC1,ACC1_s_natans.faa,GCA_905221605.1_Snat_CCMP2548_protein.faa,blastp 2.9.0+,+,2,0.0,0,94,"CAE7605731.1","ACC1 [Symbiodinium natans] "CAE7605731.1 ACC1 [Symbiodinium natans]"
ACC1,ACC1_s_natans.faa,GCA_905221605.1_Snat_CCMP2548_protein.faa,blastp 2.9.0+,+,3,0.0,0,78,"CAE7615757.1","ACC2 [Symbiodinium natans] "CAE7615757.1 ACC2 [Symbiodinium natans]"
ACC1,ACC1_s_natans.faa,GCA_905221605.1_Snat_CCMP2548_protein.faa,blastp 2.9.0+,-,4,0.0,0,112,"CAE7282456.1","HFA1 [Symbiodinium natans] "CAE7282456.1 HFA1 [Symbiodinium natans]"
ACC1,ACC1_s_natans.faa,GCA_905221605.1_Snat_CCMP2548_protein.faa,blastp 2.9.0+,-,5,1.91079e-31,269,52,"CAE7198571.1","Mccc2 [Symbiodinium natans] "CAE7198571.1 Mccc2 [Symbiodinium natans]"
ACC1,ACC1_s_natans.faa,GCA_905221605.1_Snat_CCMP2548_protein.faa,blastp 2.9.0+,-,6,6.57001e-07,294,72,"CAE6967034.1","CAD [Symbiodinium natans] "CAE6967034.1 CAD [Symbiodinium natans]"
ACC1,ACC1_s_natans.faa,GCA_905221605.1_Snat_CCMP2548_protein.faa,blastp 2.9.0+,-,7,2.26726e-06,294,77,"CAE7304970.1","CAD [Symbiodinium natans] "CAE7304970.1 CAD [Symbiodinium natans]"
ACC1,ACC1_s_natans.faa,GCA_905221605.1_Snat_CCMP2548_protein.faa,blastp 2.9.0+,-,8,0.00128572,297,89,"CAE7473021.1","URA2 [Symbiodinium natans] "CAE7473021.1 URA2 [Symbiodinium natans]"
ACC1,ACC1_s_natans.faa,GCA_905221605.1_Snat_CCMP2548_protein.faa,blastp 2.9.0+,-,9,0.00187621,297,70,"CAE7578804.1","URA2 [Symbiodinium natans] "CAE7578804.1 URA2 [Symbiodinium natans]"
ACC1,ACC1_s_natans.faa,GCA_001939145.1_protein.faa,blastp 2.9.0+,+,1,0.0,0,100,"OLP81638.1","ACC1 carboxylase 1 [Symbiodinium microadriaticum] "OLP81638.1 ACC1 carboxylase 1 [Symbiodinium microadriaticum]"
ACC1,ACC1_s_natans.faa,GCA_001939145.1_protein.faa,blastp 2.9.0+,+,2,0.0,0,34,"OLP76680.1","ACC1 carboxylase  partial [Symbiodinium microadriaticum] "OLP76680.1 ACC1 carboxylase  partial [Symbiodinium microadriaticum]"
ACC1,ACC1_s_natans.faa,GCA_001939145.1_protein.faa,blastp 2.9.0+,+,3,0.0,0,72,"OLP78208.1","ACC1 carboxylase [Symbiodinium microadriaticum] "OLP78208.1 ACC1 carboxylase [Symbiodinium microadriaticum]"
ACC1,ACC1_s_natans.faa,GCA_001939145.1_protein.faa,blastp 2.9.0+,-,4,0.0,0,78,"OLQ05787.1","hypothetical protein AK812_SmicGene10992 [Symbiodinium microadriaticum] "OLQ05787.1 hypothetical protein AK812_SmicGene10992 [Symbiodinium microadriaticum]"
ACC1,ACC1_s_natans.faa,GCA_001939145.1_protein.faa,blastp 2.9.0+,+,5,0.0,0,23,"OLQ05789.1","ACC1 carboxylase [Symbiodinium microadriaticum] "OLQ05789.1 ACC1 carboxylase [Symbiodinium microadriaticum]"
ACC1,ACC1_s_natans.faa,GCA_001939145.1_protein.faa,blastp 2.9.0+,+,6,0.0,0,23,"OLQ00974.1","ACC1 carboxylase  mitochondrial [Symbiodinium microadriaticum] "OLQ00974.1 ACC1 carboxylase  mitochondrial [Symbiodinium microadriaticum]"
ACC1,ACC1_s_natans.faa,GCA_001939145.1_protein.faa,blastp 2.9.0+,-,7,2.21152e-67,233,6,"OLP78351.1","ACC1 carboxylase 2 [Symbiodinium microadriaticum] "OLP78351.1 ACC1 carboxylase 2 [Symbiodinium microadriaticum]"
ACC1,ACC1_s_natans.faa,GCA_001939145.1_protein.faa,blastp 2.9.0+,-,8,4.28046e-56,245,4,"OLP78355.1","ACC1 carboxylase  mitochondrial  partial [Symbiodinium microadriaticum] "OLP78355.1 ACC1 carboxylase  mitochondrial  partial [Symbiodinium microadriaticum]"
ACC1,ACC1_s_natans.faa,GCA_001939145.1_protein.faa,blastp 2.9.0+,-,9,1.04695e-43,257,2,"OLP73529.1","ACC1 carboxylase  partial [Symbiodinium microadriaticum] "OLP73529.1 ACC1 carboxylase  partial [Symbiodinium microadriaticum]"
